project_accession,n_runs_in_project,n_conflict_rows,n_overlap_rows,conflict_side,conflict_ratio,infer_value_projlevel,misjudge_source,infer_method_top,orig_real_date_dist,orig_sentinel_dist
PRJNA621655,1,1,1,orig_before_interval,1.0,2018-10-24,llm,llm_agent|llm_agent,2009:1,
PRJNA621657,1,1,1,orig_before_interval,1.0,2018-10-29,llm,llm_agent|llm_agent,1965:1,
PRJNA621658,1,1,1,orig_before_interval,1.0,2018-10-31,llm,llm_agent|llm_agent,2006:1,
PRJNA621661,1,1,1,orig_before_interval,1.0,2018-11-05,llm,llm_agent|llm_agent,2007:1,
PRJNA621665,1,1,1,orig_before_interval,1.0,2018-11-09,llm,llm_agent|llm_agent,1998:1,
PRJNA621666,1,1,1,orig_before_interval,1.0,2018-11-20,llm,llm_agent|llm_agent,1998:1,
PRJNA621667,1,1,1,orig_before_interval,1.0,2018-11-23,llm,llm_agent|llm_agent,2009:1,
PRJNA621669,1,1,1,orig_before_interval,1.0,2018-12-04,llm,llm_agent|llm_agent,2009:1,
PRJNA621672,1,1,1,orig_before_interval,1.0,2018-12-04,llm,llm_agent|llm_agent,2006:1,
PRJNA677053,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2009:1,
PRJNA677054,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2006:1,
PRJNA677055,1,1,1,orig_before_interval,1.0,2019-08-06,llm,llm_agent|llm_agent,2006:1,
PRJNA677057,1,1,1,orig_before_interval,1.0,2019-03-26,llm,llm_agent|llm_agent,2006:1,
PRJNA612690,3,1,3,orig_after_interval,0.3333,2016-03-XX,llm,llm_agent|llm_agent,2016:2; 2017:1,
PRJNA621656,1,1,1,orig_before_interval,1.0,2018-10-29,llm,llm_agent|llm_agent,2006:1,
PRJNA621659,1,1,1,orig_before_interval,1.0,2018-10-31,llm,llm_agent|llm_agent,2009:1,
PRJNA621660,1,1,1,orig_before_interval,1.0,2018-11-05,llm,llm_agent|llm_agent,2009:1,
PRJNA621670,1,1,1,orig_before_interval,1.0,2018-12-04,llm,llm_agent|llm_agent,2015:1,
PRJNA621671,1,1,1,orig_before_interval,1.0,2018-12-04,llm,llm_agent|llm_agent,2009:1,
PRJNA621674,1,1,1,orig_before_interval,1.0,2018-12-07,llm,llm_agent|llm_agent,2006:1,
PRJNA617093,1,1,1,orig_before_interval,1.0,2019-01-30,llm,llm_agent|llm_agent,2013:1,
PRJNA617098,1,1,1,orig_before_interval,1.0,2019-01-25,llm,llm_agent|llm_agent,2006:1,
PRJNA617099,1,1,1,orig_before_interval,1.0,2019-01-26,llm,llm_agent|llm_agent,2006:1,
PRJNA617101,1,1,1,orig_before_interval,1.0,2019-01-25,llm,llm_agent|llm_agent,2000:1,
PRJNA617104,1,1,1,orig_before_interval,1.0,2019-01-26,llm,llm_agent|llm_agent,2009:1,
PRJNA617105,1,1,1,orig_before_interval,1.0,2019-01-30,llm,llm_agent|llm_agent,2010:1,
PRJNA654767,1,1,1,orig_after_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA654770,1,1,1,orig_after_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA654765,1,1,1,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA653494,1,1,1,orig_before_interval,1.0,2019-01-31,llm,llm_agent|llm_agent,2009:1,
PRJNA653493,1,1,1,orig_before_interval,1.0,2019-02-25,llm,llm_agent|llm_agent,2011:1,
PRJNA653496,1,1,1,orig_before_interval,1.0,2019-01-30,llm,llm_agent|llm_agent,2000:1,
PRJNA650827,1,1,1,orig_before_interval,1.0,2019-06-05,llm,llm_agent|llm_agent,2002:1,
PRJNA625861,1,1,1,orig_before_interval,1.0,2020-XX-XX,llm,llm_agent|llm_agent,2016:1,
PRJNA621664,1,1,1,orig_before_interval,1.0,2018-11-09,llm,llm_agent|llm_agent,2006:1,
PRJNA621663,1,1,1,orig_before_interval,1.0,2018-11-07,llm,llm_agent|llm_agent,2011:1,
PRJNA621662,1,1,1,orig_before_interval,1.0,2018-11-05,llm,llm_agent|llm_agent,2006:1,
PRJNA621668,1,1,1,orig_before_interval,1.0,2018-11-28,llm,llm_agent|llm_agent,2009:1,
PRJNA621673,1,1,1,orig_before_interval,1.0,2018-12-04,llm,llm_agent|llm_agent,2006:1,
PRJNA621675,1,1,1,orig_before_interval,1.0,2018-12-12,llm,llm_agent|llm_agent,1986:1,
PRJNA621676,1,1,1,orig_before_interval,1.0,2018-12-12,llm,llm_agent|llm_agent,2011:1,
PRJNA617095,1,1,1,orig_before_interval,1.0,2019-01-30,llm,llm_agent|llm_agent,2009:1,
PRJNA617097,1,1,1,orig_before_interval,1.0,2019-01-25,llm,llm_agent|llm_agent,2000:1,
PRJNA617100,1,1,1,orig_before_interval,1.0,2019-01-25,llm,llm_agent|llm_agent,2009:1,
PRJNA617102,1,1,1,orig_before_interval,1.0,2019-02-25,llm,llm_agent|llm_agent,2006:1,
PRJNA617103,1,1,1,orig_before_interval,1.0,2019-02-01,llm,llm_agent|llm_agent,2006:1,
PRJNA617108,1,1,1,orig_before_interval,1.0,2019-01-11,llm,llm_agent|llm_agent,2001:1,
PRJNA654766,1,1,1,orig_after_interval,1.0,2017-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA654768,1,1,1,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA654769,1,1,1,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:1,
PRJNA653492,1,1,1,orig_before_interval,1.0,2019-01-30,llm,llm_agent|llm_agent,2010:1,
PRJNA650882,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2011:1,
PRJNA650825,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2009:1,
PRJNA677056,1,1,1,orig_before_interval,1.0,2019-03-01,llm,llm_agent|llm_agent,2006:1,
PRJNA603842,1,1,1,orig_after_interval,1.0,1998-XX-XX;2015-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2018:1,
PRJEB40816,142,1,140,orig_before_interval,0.007,2018-06-XX,llm,llm_agent|llm_agent,2018:139; 2017:1,UNPARSED:2018-06:2
PRJNA650883,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2006:1,
PRJNA683097,1,1,1,orig_before_interval,1.0,2019-06-25,llm,llm_agent|llm_agent,2006:1,
PRJNA749647,1,1,1,orig_after_interval,1.0,2018-01-XX;2020-12-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2021:1,
PRJNA609054,1,1,1,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2015:1,
PRJEB27622,1,1,1,orig_after_interval,1.0,2015-05-XX;2015-06-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2017:1,
PRJNA845064,246,1,246,orig_before_interval,0.0041,2019-XX-XX;2021-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2020:98; 2021:80; 2019:67; 2018:1,
PRJNA697315,1,1,1,orig_before_interval,1.0,2020-07-02,llm,llm_agent|llm_agent,2006:1,
PRJNA864638,18,1,18,orig_after_interval,0.0556,2019-XX-XX,llm,llm_agent|llm_agent,2019:17; 2020:1,
PRJNA901878,466,1,4,orig_before_interval,0.0021,2020-XX-XX,llm,llm_agent|llm_agent,2020:3; 2019:1,UNPARSED:2022-08:82; UNPARSED:2021-08:63; UNPARSED:2021-07:37; UNPARSED:2021-12:31; UNPARSED:2022-07:29; UNPARSED:2019-04:21; UNPARSED:2021-10:20; UNPARSED:2021-09:19
PRJNA1029166,1,1,1,orig_before_interval,1.0,1999-XX-XX,rule,literature|rule_date,1994:1,
