project_accession,n_runs_in_project,n_realconflict_rows,conflict_type,orig_countries,orig_sentinels,infer_value_projlevel,infer_note_top,infer_source_top,infer_method_top
PRJNA1211045,15,4,incomplete_subset,Tanzania: Zanzibar(4); Uganda: Kimi Island(2); Uganda: Ngamba Island(1); Malawi: Nsanje Port(1); United Kingdom: Preston Montford(1); Malawi: Nkopola(1); Malawi: Chipereka(1); United Kingdom: Knowsley(1); Malawi: Mthawira(1); Malawi: Mangochi Town(1); Malawi: Palm Beach(1),,Uganda;United Kingdom:UK,"[Uganda|literature_abstract] reshwater locations across Malawi, Uganda, Zanzibar and the UK and conducted ; [United Kingdom:UK|literature_abstract] s Malawi, Uganda, Zanzibar and the UK and conducted ",literature;literature,rule_place;rule_place
PRJNA1114660,4,4,fully_disjoint,Poland: warminsko-mazurskie(2); Poland: lubelskie(1); Poland: malopolskie(1),,Australia;United States:America,"[Australia|literature_abstract] m Europe, North America, Asia, and Australia, indicating a broad geographical s ; [United States:America|literature_abstract] ng from pigeons from Europe, North America",literature;literature,rule_place;rule_place
PRJNA244165,3,3,fully_disjoint,Peru: El Yaral(1); Peru: El Algodonal(1); Peru: Chiribaya Alta(1),,United States,[United States|study_description] Ancient South American tuberculosis Genome sequencing,study_meta,rule_demonym
PRJNA320927,3,3,fully_disjoint,USA:Gulf of Mexico(3),,Mexico,"[Mexico|literature_abstract] ol of natural gas into the Gulf of Mexico, forming deep-sea plumes of disper",literature,rule_place
PRJNA319431,3,3,fully_disjoint,USA(2); USA: Minnesota(1),,Turkey,[Turkey|study_title] Candidatus Arthromitus sp. SFB-turkey isolate:UMNCA01 Genome sequencing,study_meta,rule_place
PRJEB27605,39,3,incomplete_subset,Sweden(36); Finland(3),,Sweden,Swedish fish farms,llm_agent,llm_agent
PRJEB34875,16,3,incomplete_subset,Egypt(13); Norway(3),,Egypt,,llm_agent,llm_agent
PRJDB6640,3,3,fully_disjoint,"Malaysia:Johor, Kulai(3)",,Indonesia,"kopi luwak, Indonesian words; civet cat (Paradoxurus hermaphroditus)",llm_agent,llm_agent
PRJNA647683,15,3,incomplete_subset,"Australia: Roxby Downs(12); USA: Mojave desert, Nevada(1); China: Gobi desert(1); Namibia: Namib desert(1)",,Australia,South Australian desert topsoils,llm_agent,llm_agent
PRJEB54899,40,3,incomplete_subset,United Kingdom(37); Netherlands(3),,United Kingdom,early medieval England gene pool (comparative Germany/Denmark),llm_agent,llm_agent
PRJNA269585,5,2,incomplete_subset,"Belize: Carrie Bow Cay Field Station(2); USA: Looe Key National Marine Sanctuary, Florida(2); Guam: Luminao Reef Flat(1)",,USA:Florida Keys,"Caribbean corals, Florida Keys (USA)",llm_agent,llm_agent
PRJNA286149,2,2,fully_disjoint,"USA: Iron Mountain Mine, Shasta County, California(2)",,Cyprus,[Cyprus|literature_abstract] rom a copper bioleaching column in Cyprus on chalcopyrite and then sub-cultu,literature,rule_place
PRJNA362212,4,2,incomplete_subset,"USA: Guaymas Basin, Gulf of California(2); Mexico: Guaymas Basin, Gulf of California(2)",,Mexico,"rule=['romania', 'united states'] vs llm=['mexico'] | Guaymas Basin is in the Gulf of California, Mexico.",llm_agent,llm_agent
PRJNA405719,2,2,fully_disjoint,Germany: Marburg(2),,Belize,rule=['germany'] vs llm=['belize'] | Sample locality Belize named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA410297,2,2,fully_disjoint,Germany: Marburg(2),,Bahamas,marine gutless worm (Olavius vacuus) symbiont community; sample site Bahamas,llm_agent,llm_agent
PRJNA410300,2,2,fully_disjoint,Germany: Marburg(2),,Belize,rule=['germany'] vs llm=['belize'] | marine gutless worm (Olavius tantulus) symbiont community; sample site Belize,llm_agent,llm_agent
PRJNA405708,2,2,fully_disjoint,Germany: Marburg(2),,Bahamas,Sample locality Bahamas named in title (Inanidrilus exumae); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405711,2,2,fully_disjoint,Germany: Marburg(2),,Australia,"rule=['germany'] vs llm=['australia'] | Sample locality Heron Island (Great Barrier Reef, Australia) named in title; institute in Germany is only affiliation",llm_agent,llm_agent
PRJNA405720,2,2,fully_disjoint,Germany: Marburg(2),,Belize,rule=['germany'] vs llm=['belize'] | Sample locality Belize named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA324597,2,2,fully_disjoint,Germany: North Sea(2),,Italy,"[Italy|literature_title] Island soil (Aeolian archipelago, Italy) reveals diverse microbial key pla",literature,rule_place
PRJNA410298,2,2,fully_disjoint,Germany: Marburg(2),,Italy:Pianosa,"rule=['germany'] vs llm=['italy'] | marine gutless worm (Olavius ilvae) symbiont community; sample site Pianosa, Italy",llm_agent,llm_agent
PRJNA454439,2,2,fully_disjoint,Switzerland: Liebefeld(2),,Italy,Inferred from aligned paper on Italian Grana Padano cheese whey cultures; project evidence names no country.,llm_agent,llm_agent
PRJEB36446,2,2,fully_disjoint,Germany(2),,Mexico,"rule=['united states'] vs llm=['mexico'] | Guaymas Basin, Gulf of California, Mexico",llm_agent,llm_agent
PRJEB37532,3,2,incomplete_subset,Germany(2); Argentina(1),,Argentina,"geothermal spring Las Maquinas, Copahue volcano, Neuquen, Argentina",llm_agent,llm_agent
PRJNA608555,17,2,incomplete_subset,Japan:Tokyo four(1); Japan:Miyano two(1); Japan:Tokyo ten(1); Japan:Miyano one(1); Japan:Tokyo two(1); Japan:Ebishima(1); Australia(1); Japan:Tokyo six(1); Japan:Tokyo three(1); Japan:Tokyo one(1); Japan:Miyano three(1); Japan:Ikawazu one(1); Japan:Tokyo nine(1); Japan:Tokyo eight(1); Japan:Tokyo seven(1); Japan:Tokyo five(1); Australia:lab one(1),,Japan,ancient Japanese dental calculus specimens (explicit),llm_agent,llm_agent
PRJEB48350,2,2,fully_disjoint,Germany(2),,Spain:Girona,"LEQUIA, University of Girona, N.E. Catalonia, Spain",llm_agent,llm_agent
PRJEB36558,23,2,incomplete_subset,Canada(21); United Kingdom(2),,Canada,boreal western Canada (Northwest Territories and Alberta),llm_agent,llm_agent
PRJEB32129,2,2,fully_disjoint,Germany(2),,Switzerland,论文: fatal meningoencephalitis in Dalmatian puppy in Switzerland,llm_agent,llm_agent
PRJNA794207,23,2,incomplete_subset,Ecuador: Isabela Island(21); USA: Missouri(2),,Ecuador:Galapagos,"Galapagos penguin, Galapagos Islands, Ecuador.",llm_agent,llm_agent
PRJNA1026665,2,2,fully_disjoint,China:Guangdong(2),,Japan,"[Japan|literature_abstract] (Cantonese-type fermentation, NJ; Japanese-type fermentation, PJ) using shotg",literature,rule_demonym
PRJEB6102,2,1,incomplete_subset,India(1); Sweden(1),,India,Indian lake polluted with fluoroquinolones (Swedish lake as comparison),llm_agent,llm_agent
PRJNA168041,1,1,fully_disjoint,Netherlands(1),,China,"[China|literature_abstract] CH1, independently enriched from a Chinese wastewater treatment plant. The tw",literature,rule_demonym
PRJNA269960,1,1,fully_disjoint,Canada: Toronto(1),,USA:Maryland,"rule=['canada'] vs llm=['usa'] | West Branch Canal Creek, Aberdeen Proving Ground, Maryland, USA",llm_agent,llm_agent
PRJNA296435,1,1,fully_disjoint,China:qingdao(1),,United States:New York,"35-year-old woman patient in New York, United States",llm_agent,llm_agent
PRJNA294203,15,1,incomplete_subset,"USA: Cheney Reservoir, Kansas(14); Taiwan: Nantou(1)",,United States:Cheney Reservoir,"Cheney Reservoir, Kansas, USA (drinking water supply)",llm_agent,llm_agent
PRJNA366253,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo:Pointe-Noire,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo | llm_adjudicated: same country/geographic referent (USA/United States, Antarctic, same ocean, Republic of the Con",llm_agent,llm_agent
PRJNA366254,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo:Pointe-Noire,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo | llm_adjudicated: same country/geographic referent (USA/United States, Antarctic, same ocean, Republic of the Con",llm_agent,llm_agent
PRJNA365762,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Italy:Pianosa Island,"rule=['germany'] vs llm=['italy'] | Sample name specifies PIANOSA (Tuscan Archipelago, Italy) as collection locality; Germany is only the sequencing institute.",llm_agent,llm_agent
PRJNA365781,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | Sample name specifies BELIZE as worm collection locality; Germany is only the sequencing institute.,llm_agent,llm_agent
PRJNA365782,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | Sample name specifies BELIZE as collection locality.,llm_agent,llm_agent
PRJNA365783,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Italy:Elba Island,"rule=['germany'] vs llm=['italy'] | Sample name specifies ELBA (Tuscan Archipelago, Italy) as collection locality.",llm_agent,llm_agent
PRJNA365786,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Egypt:Dahab, Red Sea","rule=['germany'] vs llm=['egypt'] | Sample name specifies DAHAB, a Red Sea site in Egypt, as collection locality.",llm_agent,llm_agent
PRJNA365789,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Bahamas,Sample name specifies BAHAMAS as collection locality.,llm_agent,llm_agent
PRJNA365796,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND, Australia named as collection locality.",llm_agent,llm_agent
PRJNA365800,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | Sample name specifies BELIZE as collection locality; Germany is only the sequencing institute.,llm_agent,llm_agent
PRJNA365801,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | BELIZE named as collection locality.,llm_agent,llm_agent
PRJNA365805,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Italy:Cavoli, Elba Island","rule=['germany'] vs llm=['italy'] | CAVOLI, Elba Island, Italy named as collection locality.",llm_agent,llm_agent
PRJNA365806,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Italy:Cavoli, Elba Island","rule=['germany'] vs llm=['italy'] | CAVOLI, Elba Island, Italy named as collection locality.",llm_agent,llm_agent
PRJNA365151,1,1,fully_disjoint,"Italy:Porto, Italy(1)",,Portugal:Porto,Portugal named,llm_agent,llm_agent
PRJNA365780,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Bermuda,rule=['germany'] vs llm=['bermuda'] | Sample name specifies BERMUDA as collection locality.,llm_agent,llm_agent
PRJNA365784,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Italy:Elba Island,"rule=['germany'] vs llm=['italy'] | Sample name specifies ELBA, Italy, as collection locality.",llm_agent,llm_agent
PRJNA365787,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Egypt:Dahab, Red Sea","rule=['germany'] vs llm=['egypt'] | Sample name specifies DAHAB (Egypt, Red Sea) as collection locality.",llm_agent,llm_agent
PRJNA365788,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Bahamas,Sample name specifies BAHAMAS as collection locality; Germany is only the sequencing institute.,llm_agent,llm_agent
PRJNA365790,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | Sample name specifies HERON ISLAND (Australia) as worm collection locality; Germany is only the sequencing institute.,llm_agent,llm_agent
PRJNA365793,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | HERON ISLAND (Australia) named as collection locality.,llm_agent,llm_agent
PRJNA365794,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND is on the Great Barrier Reef, Queensland, Australia.",llm_agent,llm_agent
PRJNA365795,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND, Queensland, Australia named as collection locality.",llm_agent,llm_agent
PRJNA365798,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND, Australia named as collection locality.",llm_agent,llm_agent
PRJNA365804,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Italy:Cavoli, Elba Island","rule=['germany'] vs llm=['italy'] | CAVOLI is a bay on Elba Island, Italy, the classic Olavius algarvensis sampling site.",llm_agent,llm_agent
PRJNA365803,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | BELIZE named as collection locality.,llm_agent,llm_agent
PRJNA365807,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Italy:Cavoli, Elba Island","rule=['germany'] vs llm=['italy'] | CAVOLI, Elba Island, Italy named as collection locality.",llm_agent,llm_agent
PRJNA366447,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA405703,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo named in study title | llm_adjudicated: Republic of the Congo ≈ rule 'Congo'; same country",llm_agent,llm_agent
PRJNA405704,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo named in study title | llm_adjudicated: Republic of the Congo ≈ rule 'Congo'; same country",llm_agent,llm_agent
PRJNA405784,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Inanidrilus exumae); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405713,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Inanidrilus makropetalos); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405717,1,1,fully_disjoint,Germany: Marburg(1),,Italy,rule=['germany'] vs llm=['italy'] | Sample locality Pianosa (Italy) named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA410407,1,1,fully_disjoint,Germany: Marburg(1),,Belize,rule=['germany'] vs llm=['belize'] | marine gutless worm (Olavius imperfectus) symbiont community; sample site Belize,llm_agent,llm_agent
PRJNA405709,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Inanidrilus exumae); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405712,1,1,fully_disjoint,Germany: Marburg(1),,Belize,rule=['germany'] vs llm=['belize'] | Sample locality Belize named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405715,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Inanidrilus triangulatus); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405714,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Inanidrilus triangulatus); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405716,1,1,fully_disjoint,Germany: Marburg(1),,Italy,rule=['germany'] vs llm=['italy'] | Sample locality Pianosa (Italy) named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405718,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,Sample locality Bahamas named in title (Olavius ullae); institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405723,1,1,fully_disjoint,Germany: Marburg(1),,Australia,"rule=['germany'] vs llm=['australia'] | Sample locality Heron Island (Great Barrier Reef, Australia) named in title; institute in Germany is only affiliation",llm_agent,llm_agent
PRJNA405724,1,1,fully_disjoint,Germany: Marburg(1),,Australia,"rule=['germany'] vs llm=['australia'] | Sample locality Lizard Island (Great Barrier Reef, Australia) named in title; institute in Germany is only affiliation",llm_agent,llm_agent
PRJNA365760,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | Sample name specifies HERON ISLAND (Australia); German institute is only the sequencing affiliation.,llm_agent,llm_agent
PRJNA365466,1,1,fully_disjoint,"USA:California, USA(1)",,Botswana,legume nodule sample coded BW (Botswana); study spanned USA/Mexico/Botswana,llm_agent,llm_agent
PRJNA365470,1,1,fully_disjoint,"USA:California, USA(1)",,Botswana,legume nodule sample coded BW (Botswana); study spanned USA/Mexico/Botswana,llm_agent,llm_agent
PRJNA366252,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo:Pointe-Noire,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo | llm_adjudicated: same country/geographic referent (USA/United States, Antarctic, same ocean, Republic of the Con",llm_agent,llm_agent
PRJNA366251,1,1,fully_disjoint,Democratic Republic of the Congo: Point Noire(1),,Republic of the Congo:Pointe-Noire,"rule=['congo'] vs llm=['republic of the congo'] | Pointe-Noire, Republic of the Congo | llm_adjudicated: same country/geographic referent (USA/United States, Antarctic, same ocean, Republic of the Con",llm_agent,llm_agent
PRJNA365759,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | Sample name specifies HERON ISLAND (Australia) as worm collection site; Germany is only the sequencing institute (MPI Bremen).,llm_agent,llm_agent
PRJNA365761,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Bahamas,Sample name specifies BAHAMAS as the worm collection locality; Germany is the sequencing institute only.,llm_agent,llm_agent
PRJNA365779,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Bermuda,rule=['germany'] vs llm=['bermuda'] | Sample name specifies BERMUDA as worm collection locality; Germany is only the sequencing institute.,llm_agent,llm_agent
PRJNA365785,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | Sample name specifies HERON ISLAND (Australia) as collection locality.,llm_agent,llm_agent
PRJNA365791,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | HERON ISLAND (Australia) named as collection locality.,llm_agent,llm_agent
PRJNA365792,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Heron Island, Great Barrier Reef",rule=['germany'] vs llm=['australia'] | HERON ISLAND (Australia) named as collection locality.,llm_agent,llm_agent
PRJNA365799,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND, Australia named as collection locality.",llm_agent,llm_agent
PRJNA365797,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,"Australia:Lizard Island, Great Barrier Reef","rule=['germany'] vs llm=['australia'] | LIZARD ISLAND, Australia named as collection locality.",llm_agent,llm_agent
PRJNA365802,1,1,fully_disjoint,"Germany:Max Planck institute for Marine Microbiology, Germany(1)",,Belize,rule=['germany'] vs llm=['belize'] | BELIZE named as collection locality.,llm_agent,llm_agent
PRJNA365467,1,1,fully_disjoint,"USA:California, USA(1)",,Botswana,legume nodule sample coded BW (Botswana); study spanned USA/Mexico/Botswana,llm_agent,llm_agent
PRJNA365469,1,1,fully_disjoint,"USA:California, USA(1)",,Botswana,legume nodule sample coded BW (Botswana); study spanned USA/Mexico/Botswana,llm_agent,llm_agent
PRJNA365152,1,1,fully_disjoint,"Italy:Porto, Italy(1)",,Portugal:Porto,Portugal named,llm_agent,llm_agent
PRJNA410296,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,marine gutless worm (Inanidrilus makropetalos) symbiont community; sample site Bahamas,llm_agent,llm_agent
PRJNA410299,1,1,fully_disjoint,Germany: Marburg(1),,Bahamas,marine gutless worm (Olavius ullae) symbiont community; sample site Bahamas,llm_agent,llm_agent
PRJNA366725,1,1,fully_disjoint,"USA:Algoma, Ontario, Canada(1)",,Canada:Algoma,"Algoma, Ontario, Canada named in study title and description.",llm_agent,llm_agent
PRJNA405721,1,1,fully_disjoint,Germany: Marburg(1),,Belize,rule=['germany'] vs llm=['belize'] | Sample locality Belize named in title; institute in Germany is only affiliation,llm_agent,llm_agent
PRJNA405722,1,1,fully_disjoint,Germany: Marburg(1),,Australia,"rule=['germany'] vs llm=['australia'] | Sample locality Heron Island (Great Barrier Reef, Australia) named in title; institute in Germany is only affiliation",llm_agent,llm_agent
PRJNA405725,1,1,fully_disjoint,Germany: Marburg(1),,Australia,"rule=['germany'] vs llm=['australia'] | Sample locality Heron Island (Great Barrier Reef, Australia) named in title; institute in Germany is only affiliation",llm_agent,llm_agent
PRJNA360036,1,1,fully_disjoint,"USA: Sacramento, California(1)",,China:Hong Kong,"Mai Po Nature Reserve Marshes, Hong Kong, China (explicitly stated).",llm_agent,llm_agent
PRJNA366444,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA366449,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA366446,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA366448,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA369601,1,1,fully_disjoint,Korea: Jeju Island(1),,"South Korea:Jeju Island (Bijarim forest, Gotjawal)","Location taken from the aligned publication: Bija forest (Bijarim) in Gotjawal, Jeju Island, Republic of Korea.",llm_agent,llm_agent
PRJNA340134,1,1,fully_disjoint,"Canada: Lake St. Clair, Ontario(1)",,United States:Lake St. Clair,"rule=['global', 'worldwide'] vs llm=['united states'] | Microcystis cf aeruginosa LSC13-02 isolated from Lake St. Clair",llm_agent,llm_agent
PRJNA450125,1,1,fully_disjoint,Taiwan: Yuanshan Township(1),,Japan,No locality in specimen evidence; inferred low-confidence from aligned cicada-symbiont paper studying Japanese cicada species.,llm_agent,llm_agent
PRJNA366445,1,1,fully_disjoint,"Croatia: Gulf of Piran, Adriatic Sea(1)",,Slovenia:Gulf of Piran,Host-associated microbial community of marine sponge Aplysina aerophoba from Gulf of Piran (Slovenia),llm_agent,llm_agent
PRJNA494230,2,1,incomplete_subset,Russia:Siberia(1); Canada:Albert(1),,"Canada:Dinosaur Provincial Park, Alberta","Description states bone and mudstone were excavated in Dinosaur Provincial Park, Alberta, Canada.",llm_agent,llm_agent
PRJNA545514,1,1,fully_disjoint,"USA:Stillwater, OK(1)",,Kuwait,Saline BTEX enrichment culture sourced from a Kuwait petroleum well waste pond.,llm_agent,llm_agent
PRJNA488629,11,1,incomplete_subset,USA: Idaho(10); Mexico: Baja California Norte(1),,United States,packrat (Neotoma) middens from arid western North America,llm_agent,llm_agent
PRJNA432360,2,1,fully_disjoint,Denmark(1),missing(1),United States;Europe,live-attenuated vaccine and pathogenic strains compared from US and EU (European countries),llm_agent;llm_agent,llm_agent;llm_agent
PRJNA618889,1,1,fully_disjoint,Guadeloupe: Basse-Terre(1),,France:Guadeloupe,"Seawater sampled at Basse-Terre, Guadeloupe (French overseas region)",llm_agent,llm_agent
PRJNA691059,3,1,incomplete_subset,USA: Ketchikan(2); Denmark: Copenhagen(1),,United States,"Tlingit wall pocket made at Ketchikan, Alaska, USA.",llm_agent,llm_agent
PRJNA758801,1,1,fully_disjoint,"Russia: Moscow, Lake Hotontyn Nur, Mongolia(1)",,Mongolia:Lake Hotontyn Nur,"Hypersaline alkaline Lake Hotontyn Nur, Mongolia.",llm_agent,llm_agent
PRJNA766251,6,1,incomplete_subset,USA: Santa Barbara Basin(5); France: Paris - extraction blank control(1),,"USA:Santa Barbara Basin, California","rule=['notcountry'] vs llm=['usa'] | Santa Barbara Basin is offshore California, USA",llm_agent,llm_agent
PRJNA743777,1,1,fully_disjoint,Switzerland: Zurich(1),,Spain:Valencia,"Swiss horse sampled in Valencia, Spain",llm_agent,llm_agent
PRJDB13674,1,1,fully_disjoint,"Japan:Wakayama, Gobo(1)",,Switzerland,"[Switzerland|literature_abstract] eromictic freshwater Lake Cadagno (Switzerland), where 'Ca. Methanoperedens' co-o",literature,rule_place
PRJEB27622,1,1,fully_disjoint,Australia(1),,Brazil,"ItaTINGa research station, University of São Paulo, Brazil",llm_agent,llm_agent
PRJNA870273,1,1,fully_disjoint,Georgia: Eliava Institute(1),,Italy,Italian real-life experience,llm_agent,llm_agent
